xcentroid ycentroid alt az star_name
477 505 35.17854997 89.65588191 "  9Alp CMa"
628 646 45.75575643 135.95047433 "   Alp Car"
557 398 49.70034422 63.98304975 " 19Bet Ori"
834 591 60.46210539 200.21245031 "   Alp Eri"
479 339 31.78499594 57.27236507 " 58Alp Ori"
574 251 36.57634784 31.99392232 " 87Alp Tau"
1017 480 40.15059652 255.43405856 " 24Alp PsA"
507 573 36.90397819 105.15996178 " 21Eps CMa"
519 327 37.79619912 51.74405128 " 24Gam Ori"
519 374 41.06974736 61.26203748 " 46Eps Ori"
1011 599 34.49858626 231.46493124 "   Alp Gru"
489 571 34.01094333 103.049586 " 25Del CMa"
504 493 40.5452516 88.14131119 "  2Bet CMa"
771 171 34.981958 347.85665426 " 13Alp Ari"
904 387 58.54886654 286.22177331 " 16Bet Cet"
514 382 40.68621726 62.98216849 " 50Zet Ori"
520 427 43.91644972 72.7686155 " 53Kap Ori"
987 580 40.32512576 232.43719955 "   Bet Gru"
520 367 41.25679445 59.43807082 " 34Del Ori"
908 520 58.93443913 237.75628078 "   Alp Phe"
491 593 31.75056048 107.72327682 " 31Eta CMa"
712 282 55.24878772 5.11154681 " 92Alp Cet"
557 458 51.18468269 80.48177737 " 11Alp Lep"
791 182 36.89719662 343.61357159 "  6Bet Ari"
592 541 54.40453239 107.12319829 "   Alp Col"
527 626 35.42272271 116.16354751 "   Pi  Pup"
527 397 44.20924093 66.04070573 " 44Iot Ori"
560 377 48.93810219 58.69420832 " 67Bet Eri"
844 701 40.46953405 189.95984149 "   Bet Hyi"
939 207 30.609438 314.72272346 " 88Gam Peg"
569 470 53.39671186 84.08490663 "  9Bet Lep"
818 614 57.83581543 191.69518141 "   Alp Hyi"
952 654 36.93623677 215.23486511 "   Alp Tuc"
633 191 33.68066344 15.66237883 " 25Eta Tau"
605 656 41.90735419 132.6262739 "   Tau Pup"
658 390 66.97074812 46.0291256 " 34Gam Eri"
